SWV ITM Data Console - ITM Port: 0
IMU,155428,AX=0.060547,AY=-0.015625,AZ=0.934570,MX=0.447000,MY=-0.037500,MZ=-0.610500,GX=-0.195916,GY=0.184934,GZ=-0.952649
IMU,SAZ=0.930664,MX=0.447000,MY=-0.037500,MZ=-0.610500,GX=-0.217170,GY=0.195823,GZ=-0.928879
IMU,155432,AX=0.060547,AY=-0.009766,AZ=0.930664,MX=0.447000,MY=-0.037500,MZ=-0.610500,GX=-0.218365,GY=0.196639,GZ=-0.927166
IMU,155434,AX=0.060547,AY=-0.009766,AZ=0.930664,MX=0.447000,MY=-0.037500,MZ=-0.610500,GX=-0.249408,GY=0.223685,GZ=-0.879879
IMU,155436,AX=0.060547,AY=-0.009766,AZ=0.930664,MX=0.447000,MY=-0.037500,MZ=-0.610500,GX=-0.341146,GY=0.300121,GZ=-0.744312
IMU,155438,AX=0.060547,AY=-0.009766,AZ=0.930664,MX=0.444000,MY=-0.036000,MZ=-0.609000,GX=-0.430476,GY=0.373833,GZ=-0.613139
IMU,155440,AX=0.060547,AY=-0.009766,AZ=0.937500,MX=0.444000,MY=-0.036000,MZ=-0.609000,GX=-0.467271,GY=0.404010,GZ=-0.559325
IMU,155442,AX=0.056641,AY=-0.004883,AZ=0.937500,MX=0.444000,MY=-0.036000,MZ=-0.609000,GX=-0.469422,GY=0.405660,GZ=-0.556311
IMU,155444,AX=0.056641,AY=-0.004883,AZ=0.937500,MX=0.444000,MY=-0.036000,MZ=-0.609000,GX=-0.462853,GY=0.371178,GZ=-0.527177
IMU,155446,AX=0.056641,AY=-0.004883,AZ=0.937500,MX=0.444000,MY=-0.036000,MZ=-0.609000,GX=-0.460445,GY=0.291675,GZ=-0.427007
IMU,155448,AX=0.056641,AY=-0.004883,AZ=0.937500,MX=0.444000,MY=-0.045000,MZ=-0.607500,GX=-0.461759,GY=0.219051,GZ=-0.326450
IMU,155450,AX=0.056641,AY=-0.004883,AZ=0.921875,MX=0.436500,MY=-0.045000,MZ=-0.607500,GX=-0.463248,GY=0.190379,GZ=-0.284249
IMU,155452,AX=0.060547,AY=-0.005859,AZ=0.934570,MX=0.436500,MY=-0.045000,MZ=-0.607500,GX=-0.405423,GY=0.158946,GZ=-0.238070
IMU,155454,AX=0.060547,AY=-0.005859,AZ=0.934570,MX=0.436500,MY=-0.045000,MZ=-0.607500,GX=-0.249260,GY=0.084052,GZ=-0.131263
IMU,155456,AX=0.060547,AY=-0.005859,AZ=0.934570,MX=0.436500,MY=-0.045000,MZ=-0.607500,GX=-0.100568,GY=0.011210,GZ=-0.028011
IMU,155458,AX=0.060547,AY=-0.005859,AZ=0.934570,MX=0.436500,MY=-0.045000,MZ=-0.603000,GX=-0.040195,GY=-0.018772,GZ=0.014324
IMU,155460,AX=0.060547,AY=-0.005859,AZ=0.934570,MX=0.438000,MY=-0.057000,MZ=-0.603000,GX=-0.037201,GY=-0.020512,GZ=0.016680
IMU,155462,AX=0.064453,AY=-0.009766,AZ=0.924805,MX=0.438000,MY=-0.057000,MZ=-0.603000,GX=0.032228,GY=-0.134914,GZ=0.171612
IMU,155464,AX=0.064453,AY=-0.009766,AZ=0.924805,MX=0.438000,MY=-0.057000,MZ=-0.603000,GX=0.243366,GY=-0.452842,GZ=0.603049
